walletAddress,amount,points
0x104aE227cD9A4E6E587C45681934E32eb5FD4748,462431141103430942166597,1849611.9697592147
0xcf38D626Ad9A9678B8562520FD5d45FCe70df61f,449129429089648765511811,1796408.3604601633
0x109fBD4aF052c620B842e51bACc06004531F819f,335004349364972556941211,1339935.829209781
0x08dA80C62534Fc71764B77D2E03cB40C5d30d18D,20992837752482577343471,83966.2395866203
0xb4c5355f35e0FC4A3dAFC55F64319416e154FB11,9102112926570422132500,36406.235486029254
0x2dD85f6f1740D513466e5C82491C5b7778705B94,8288751036310321069323,33152.985965719425
0x00718f5eae439B880d6Ef3e8fE8bA1Be3d60C72f,8124727169459120887041,32496.930435526843
0xca29358a0BBF2F1D6ae0911C3bC839623A3eE4a7,6411258025282068956585,25643.471061401146
0x6573E6c243FCb2A7d91B14D491550e3f52d5aE78,2956669998343118550110,11825.960091083527
0xA627BB549b4Fa6EeFc0F04Cc3fA2Ed155e5973Cd,2715134292434355756996,10859.876077565143
0x6699ef93Ed3bE59426ec9370B14FcE9a270AC556,2640867653009355763061,10562.827602614905
0xc5c8730c1C804272d7259e3543811716d327Bb0B,2253767418553931747738,9014.520917565753
0x69b235c1c3F16F828B2394193A7AbEA79EE40C07,2167351462420283041865,8668.878133947004
0x255d297864377bD4F4BEf1c7a55453F986E5201F,1877929879817322671443,7511.262273103936
0xb88A8DC6612791937e85DB35a98384A32b6Ca47D,1632738732461835070353,6530.5573838407145
0xE894fA40889B4ed2be4A0DE343fb31A35443ac9E,1411968410475087239320,5647.529849968482
0x47E72683C7C150D7FB2A19497BDbdd45BA3b1d68,1376123697895705618066,5504.159727270422
0x3F9AF3BC17b56B304b98bE83bE0ebEa40077779b,1125953159430091545801,4503.53848596952
0x2dED124b04bAD867d353Bc51eee730D42Ea17df2,995870403437580876016,3983.2391350890825
0x1F72d195A261ef8bb2f868AA2686249bE7f2BDe6,906830659843988769353,3627.101840481227
0x35873857F37a2B6c5D47C6Db742b741fa7215A99,800518238426170114508,3201.878040199788
0xFB9e5F5874565A6eF8FCF1DEbc4975501331a8Ca,798282846625461615986,3192.937017279432
0xCA6C597822af51210920eA02e2A681878036e4a3,790866365643430185628,3163.2728991468935
0xaa0C6B57caFf5D97756DfcD5c068acDe5d24CBa3,723510043208463912379,2893.8640096041163
0x183A48331B4ee0d2253D7d23a4b1cbc10075b5Ae,667513294352655748298,2669.8906485018247
0x898bcEb954ab41001FE6AB6d6416862527198888,599306566124807204687,2397.080342847852
0xd88715C5E95F0722647CE733ECe60B21aaa162C6,595686180796755365918,2382.599683042098
0x3f1ADb91ffE32746d124512a5636Ba964e9d2FB2,578737871795209116499,2314.810573680568
0x9940F655dE0B772c4fc5Bb826d25fE1c0A9D53aa,570589401966336708938,2282.218678388349
0x1Dd22C9deFA0670028578490d6A018BcEbB3d7A3,508583861307254778694,2034.2116131185428
0xAF06f63B10AaF6f524d9c375F2277b25afE58590,462343201856563553065,1849.260234183558
0x57B2bd8197E092afC80a9B8BEdF2882489C95FBC,417192503153870006827,1668.668432852395
0x9fB59A5Eee33709B8EbaE026600c8133dDEe3Ecd,411571370791892150010,1646.1852720611332
0x4bB2509976A0B9BC6Ce7422D53a316Dd03080108,403539735003029250038,1614.0606844817153
0x9b3E54ca6234dE869B9bc385dF6F8Cb104d28080,355947339439448853682,1423.7026902214957
0x1e60f32703E4571B898140665Ea8b647c40AECdD,332503287793705453623,1329.9321918935698
0x1c2C1376c9B45950dAa3C85c52Ea37561c9A3f8B,294693888387783374583,1178.7038002594545
0xFb28996C2176B3E7870455b5d1f688Aef2cED104,269765181292192153251,1078.9950416222114
0x1CE6d138B8bCC309ab53dceDd6dE85e56dd18939,267470075366298431163,1069.815176740558
0x7c937Ae25a6F616CdCECDbc25eA6C21B6BBDd478,261955073099717367313,1047.756510489887
0xF62D60dA2fA7FE8db5C3b31fA086108A07CB6635,256059169243482983802,1024.1743306241033
0x9EefcD60bC435CFb682b552da41d49c96999C380,255079093727446291950,1020.2542671928131
0x93124B67Fa7a3324becdE6bE1bff1f21f209cD57,253479168190665035354,1013.8549546022016
0x44331f20da54cAc71B7B7D8B7da182B1dF71997D,238510713869127442877,953.9847818974667
0xBcb6aA2c75422C51d4FD20f1A3469BcB3cC5baDc,235963842042681932298,943.7979147146132
0x91d0E43af65D61fCE0d5b3e36d6E9B2d9ECA8c16,232183595258554419161,928.6778480082877
0xB609099b6BBaB96b126d2542A8d521D6ECf448F0,228474457562133267174,913.8422003388519
0x0413c0a423f915279f60fb3e2bd871E6d27646EA,221665515683516105128,886.6080906938264
0x15Ad877866A67f482b147Ec031D40baef7C37163,220394657104113150581,881.5249658101387
0xE906c99fb03bBdDd92652ee9A0E5655dCC389D98,206485149577851160529,825.8903224497433
0xeF77824A42200C897f724e50F382d4abA76CA7bC,197344510090699856164,789.3299901019975
0xF2E20031b0fF7e92a448Be9bcd9C97e2070CdE03,183532443380780506459,734.0850862816781
0x983039A73042005cF50D814BD2548cB4eFc697CA,172672137283964076460,690.6465062068389
0x3724c6B82edEe8b33EdB3F8A55954686c4CD82dC,172543290911731730830,690.1311520899593
0xbD579422F0508f763b7AB522A8d2FBD22F5794A4,171456688434870017090,685.7850067529957
0x48a9b858a2e532bA504428ACbE1609BBa10cB069,169592461841948988877,678.3285542909438
0xF430c10e48a5888f23123656641BFD8347a2442A,158825884834430354431,635.2648677517478
0x1cf6386Fed4770557841D1CFF062d4AaF2aC08Eb,153066229058420844922,612.2276470326154
0x26644c3Ef328f0E114E94968972F94d57ABE6928,147726982261761008886,590.8719598679577
0xeFFD3E7E2D2097D271354bC88d54bA7CE12B4780,146298472086415870308,585.1582669861666
0xA663076dc7F336bA5c8A44319F57c206Fb5b90c0,139694523799035636102,558.744081793398
0x7424Bb66107FAe67627B9Ae5FA92cF4fFa05ce42,126799892885775491891,507.1686977786379
