walletAddress,amount,points
0xA47E1925874c821De45375116D5c90Db1a2347A1,98633565573738975217566,8079192.1027353285
0xFbc5CC1cb92093a9eE89A83EB52Ea69B5Ea5f2E6,95374292371383839054033,7812221.176925714
0x0581C88880fC55D60326Bee760A9C07AEC90699D,92930006153346694190986,7612006.799652422
0x7029721EFD2170A0D5d216F61626b77c1F119ea0,92792262291269929846749,7600724.0368706295
0x1260eFF13101bB3005f1C2bd460953C9417f5735,90055323426190210739151,7376538.134882829
0x6f016F3Caa828FDfa24bF200C23b4C80930e13B5,86500561068445516866632,7085363.342602601
0x5C9cC01B2c37283f5E65e000bc8aB01442c123dc,83183709679368927027099,6813676.1193668125
0x4F025204F6236F1E5E43d749307bf9B4f5b21440,81768414387139462633058,6697747.606780797
0x6fba284f283A38f2B71cd0557562442e08d47551,78854177738253027200699,6459039.033464718
0x346be28A4c3e9D75d0dF853a1b9620bFc814A059,59162309773890337964986,4846054.8204297945
0x50f6a094E91d99f6EF662bd8E38a2a75e69d6668,57984167171469751338009,4749551.7653693305
0xD2A51d54f4D5075BAC9Ea5372F43B7Cc0830E7AD,53911161777136854652781,4415927.072549201
0x5F1102929B458184Af065f836AfA4Ec8990B96C3,50952861175744452339131,4173609.1687275204
0xD11926222476A7EF016Fd3A12323587caEBD1b87,48307725715240594581701,3956942.992270671
0x0F861B807cd605AFC2c5e80ef5d3A3b3A3a2684d,48158877531935198931023,3944750.661393528
0x1508687d6602c11715d9203319DaFeCe920cEAFB,48050245348566291795578,3935852.470672431
0x0ecDCA5909698B36efBA2ED3C95425Be225Ade03,47923820239598971966188,3925496.8403551574
0x15468A60889549b0F7A542C99FbAE163AeAFCaf6,43777817731148541497532,3585892.867515389
0x7E5024821D7C06FA1F35be7636f92b0A87B8B1c4,41535079018451688170899,3402187.4849641216
0xA85Be5C8713f91bf59f708aB5443Fa6BE3918bF1,40782288515929889399558,3340525.52386994
0xA9718B19B19A022C80F8523f25c4847db5257859,40738548536749294726178,3336942.730402888
0x7ab6B4C7570A9231D48eD2B1d0180A81F1D11ba9,40625674167566226969939,3327697.057220534
0x41D8f961427d4199f1645A223B41853F7a1d6e58,40556134037781055667438,3322000.9428793816
0x11A0AF34870D8993F097c4f01904608e906AF37d,40150344382800634775776,3288762.231931246
0xEcfE46Af9787c247c5115D9004Cc78198263c403,39890308541698628687300,3267462.388397871
0x5Aa4E642F5Fe4DC80e63e67a2898613b825C1B9E,39499581831715018779505,3235457.501103522
0x0ce04d34Ff80f33D6fE509134b08754C01D5A1d4,39464650813654377998319,3232596.26006844
0x79065986E243F35D0b479705A78FfFB9dd7601a1,39384577720222165226005,3226037.378207726
0x9D41cfAfA4cb9236296A49831C8c67c08A9918ce,39363294060849977540784,3224294.008476369
0x7D9785F5021cdf9Fb8CE6e6A9370B1459422806e,39296165725501719862223,3218795.4470722396
0x1453f9051DE9d2182BEF055495f489C1cf8887a9,38789468944462925719563,3177291.3139909958
0x3aa46312c8ffbA3AcBd38f7Fe4feb13caE2fb9F9,38719736572665147832595,3171579.4528790456
0x27E130D4D572D922d3Fd039418DfcA7EF0aE6cac,38578872808311352855526,3160041.135208902
0xb6327b6b0f48b45DDB0bE79F8D1e8335569266C6,38401300086567898688372,3145495.943388797
0x2b76BEbD6e7d7714694cB42A5cF62F54061663EF,24585598969136161031201,2013835.512049542
0x8Fe5CA49F9ad6F5108a5B2A782cA71203C963fb4,23762075015662274381611,1946379.6902649645
0x6A39f8d6a10847bE1DCffc1Ed054bFce680F4a6e,23403479205204781465000,1917006.6829822029
0xb6d13bCFbe359dAf77fd701AC5e745a62cF8aF19,18964108892706259211991,1553372.6060711162
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,17998026664090572012356,1474239.667232059
0x1534e3e02cAFf1CA4420E379D95147F4429AdF5D,16353682877427892890410,1339549.5213561594
0x5d8Ee5f1FCb866bDc4aEcC3692AF7C822194505C,16298780872251027176389,1335052.433127937
0x847A3e67662841265B27a9E0503966a7C2Ef05d2,15107692028976111032534,1237488.9361554116
0x1E491cBB16080A90377C5f11c43F95122082C440,14685035280587095257943,1202868.6216216187
0x01D2926Bd27A0A67cb5021aa66375b02F1003748,14659100181947344026412,1200744.2469942279
0xe6Cc82E4550FD6eb8D0aB06dB9614E38575C5F53,13402870848254513475695,1097845.0153487097
0x3639fB10BFc6ED6be85a1F913A3B00E9E8E775e1,12828405548390819603810,1050789.8826770184
0x7c013853e3cb81CDACf54BBc81dC3437BDb507e3,11832461954778096696828,969210.9640859612
0x7D51a6F5c80A402fbfc774b0f62096Fb745C8D2B,11596833434293954269378,949910.3530738663
0xB331DbaDE6ACa05cd5647Ff818BDfFd30c17f68d,9102422165470388790709,745590.173560666
0x5ceCA823922F186Dd21C058526aF0Ed923b960AA,8911630817577479319880,729962.2284265704
0x77B3bbF22e630adC56B182953e0Eb6730775cBB5,8156457703185985337768,668105.1047739886
0x924f4CbF947E54D10DCCBF17cF982F08611cb9C9,7978061708339735560003,653492.477679575
0x72eD5C736C89A753Bb4b17292E7C74a0AD161305,7876915544044426496839,645207.4756415447
0xE5C3d3467122CFc452721B3bb7f54F072925f062,7686357557590664328018,629598.6454191454
0x5Fb0eDC2CDb26FB1326d093cdfb8be1844483bB4,6859425575960663081787,561863.6680144233
0x4b3D4600e89Be77D08144d86F6A0032393c4837F,6234566666563790022337,510680.73513799947
0x2c7B7d05721886DF3A77FAbe33104d6C4F2C18Ed,5505658342967534736090,450974.9915875012
0xcC89003D4ca16b6A13c2c88c58485cF91659E232,4892640360186510406493,400761.9630255708
0x30F293cA7d9156280288cEDba058D991C525ea20,4516052015278770340956,369915.1659493141
0xce74E1FCb2bC3d5b8DA1aD4B406cF5b667ec9003,4125046122087311232463,337887.4104279575
0x197fa4103df4F2332feB59f0306DE172ef917d50,3918774856187304067134,320991.486887257
0x7401738FAF0D41CB3014936D61520efc03f37562,3583533797750360918144,293531.4949861074
0x3a70B21F6aB637b11224A218E0B775421d32bc8B,3501050401205236539681,286775.1823444849
0x3aF5002869b803909CA49e8DB3f42D568E126C5F,3473555998560966145305,284523.08328043
0x91A767B183A2EdEA8C2E107842fEEf521d51aD72,3268350879087242901733,267714.48905543954
0x7DB459D85b24457Cc027C462044344F2ba85F2ba,2937007056117424781405,240573.7243243242
0x70bd8821c22d7d9906F4870Ed915C697bFFDe561,2792451237583633428585,228732.9861262356
0x524E7D417C5A9c9e040F8aDF9b9cBD59967Bce4b,2690367940833932607347,220371.22245963893
0x56F257E40b9382A0699249F888747056E950904B,2651463038651980241411,217184.47587253383
0x5c0A3578333153C6ccEef4A6A5c78327a3bE48EF,2503005260955576432025,205024.12358092243
0xa5CD1C11dC5D2ADC3f5492a9Ab7B5bC1243bd8dC,2445542646812731163664,200317.29284145852
0xeD7693deE94970E6079deb30Dd70C141c163dbfb,2346843604534647965920,192232.73746436954
0x65C90fFDfD74736bdAc7B0D0fe13Cf94Da1eBd8B,2254465595975316773547,184665.94544100913
0x9fE07e624351c4C1Df3b631dA2238e658722FEDB,2226666037042473817564,182388.85066416216
0xBa1C22a31a095c2A7d77e5F7a56fDb3454973b18,2128258164860356373538,174328.1453742742
0x8680D4d5501164b53F93Ab259F5d22EcC809b5FC,2091495156866224988335,171316.8438753242
0x45d993393f7B3Fe781935e1155118C7f830d4415,1963165653354242749629,160805.2223467804
0x1B921FfF55439b6891aE3EBEB0199189a3CC6496,1924471936194609725135,157635.77417482043
0xA04c06E81aC84A39EF39cC304ed312A53E2C8f77,1873628799627174203124,153471.15267863387
0x0687FDf1617C222fc7EAf72e340e177C616ebF75,1800319407138565111381,147466.29356799467
0x5A85FA9B98A8041D186D478242570dFDDFAE94a2,1796908100121057032084,147186.86937243264
0xdF64DE6Ef7f8badEF83807DDC0f09016d27Ee2f5,1616826451461755823402,132436.16837898552
0x23b3f13f419F2899aafA26595FA3C7AB239c5138,1528602150534950396832,125209.61146429795
0xD447B5019587c59491ad7b91c87768cF08D629AC,1507241927892764351782,123459.97034487191
0x6D841D33f7A1fB78771955BD0faaa87Bf5377707,1383440508931000977100,113319.24958145653
0x67865F07bEc6C59cFCbBD641804674754d1e6C14,1376531789736547807479,112753.34821480553
0x4C706bCEd23093F6579C90955A50c5a3FB44fA62,1312030650041099306691,107469.98351625059
0xAd9Ec683D878e7f8B66EFa3810e2DA3300bCb5f3,1310682761241819662246,107359.57634928709
0xd63d5126874a4469fC28E49673c58b03B15525cb,1303397498073409678909,106762.83182003692
0xEc747574F70C28E9d9FED89121D6D4e78c237d10,1296820922269878337829,106224.13671167435
0x40A81DB7224d30118deA4747000C2Dc704C9396B,1292452853921553241889,105866.34306304455
0x50E01433711F0CdE93D09856405f64a579Fa5244,1278944763193601374951,104759.87936280742
