walletAddress,amount,points
0xb8255405A94F3eC773BA637f5cf370dFbA29564F,298983130039844778366387,24088683.44261267
0xc3d0f5D6C87C40285B87733d92f0F49B9Dd28472,286087484280204458627850,23049697.970587384
0xf3315f058926fF44fc0c8f2cDD8b1738d6eC7fc0,265652321480126993265003,21403263.37836233
0x581b28357633D0bAFB91bd39824833c5F17525A0,259096672734141553519294,20875083.25200551
0x02A2b097fF46028D65cf16C026ba63a29AfeF6de,247245900629328185459599,19920281.896673687
0xE7b6B4f873430E6060e5D71F1AAE6339085fD8D6,227779014347353280754760,18351860.0890709
0xF91173429629dE23e34C01eCD890AE0C7C056857,192590966272670950274915,15516804.643228533
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,177850960367737687192857,14329221.463739911
0x9b5ec3915F44fFa6642447083C7213479dDa4E02,147197008240858063800260,11859472.254307928
0x66494B02099251E1eb9972a19d1CC6F9fe2b6780,127692605562962606200017,10288027.799289824
0x3c3E2E6639300B999D6024eC7CaD5ca88727f6d4,127265038977366537437774,10253579.313418098
0x2428f038e4EA8D30920087d075497C61eCa3E641,90445590869544917950407,7287084.080450204
0x07061f9D1967f63570B54764c817791D3FA9D60B,77614540963212988572195,6253303.0126394415
0xDeBb5Fa0c9D5a521D24C533bEaD1FA66f054aAb3,14719700824085819476750,1185947.2254307938
0x926f231a080c1FF7E3c749A3463E837112F88a4E,12769260556296258073417,1028802.7799289824
0x67D4EC047131A078502Ee72f0Bb75a88273672bD,12726503897736638464266,1025357.9313418086
0xc00Df6f5D704B7A3F1DDc97c9DED17fd9330d4C0,9044559086954488520860,728708.4080450202
0x730771a2bBaf10FA05905Cb278B3C0eE45e2B59e,7761454096321296674432,625330.301263944
0x231dA2c5Be927422649626CC543A01C433aE8fd4,1543898581300648174874,124389.90851254326
0x0687FDf1617C222fc7EAf72e340e177C616ebF75,1471314572640697178940,118541.90897032022
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,1292192668859986497409,104110.28924235552
0x41C3c2e086fB0CC0D482735112c19b89c636dE60,1123415089047593028226,90512.09829502941
0x2BfAA0C619784d983b037e8a93F2F233774186d8,810322323608731153399,65286.619807919385
0xa0569793ca48227F5EBfcae9F1DC94A4fa3Bc3AF,677047597727662264333,54548.84780646163
0x63d5d344aa94B527Ad10d3D173F9cBc5418e2E42,659656285108264796690,53147.65227986336
0xa74C324641B6e54d70bf3d4A62c40CDE87B23Bd9,623269886926117806070,50216.04731837344
0x3697AED01b4609AAeaeec646d87C1aB820B1241a,583666190988869288958,47025.22884489392
0x14B106Ac8f40D06C9ECdE5fb107d6689bbF5b017,492017234782225784784,39641.191178241985
0x98Fcf2Ecd0Ca94846e578107183B46706c9c8C89,358848324498554518414,28911.944602378197
0x82e3bcF4D67B324fabbD647753ac3DaBB498AfDE,353836043235173292487,28508.1115946
0x2787075c78908F817F901630724d3465AfB13781,345127027798933795566,27806.437503782763
0x91d5E2Fd8aEb42eAE6AaCaE39a7a0d35d89be088,325736389771615847621,26244.158919275
0x6869E132Fc9e75B68a58e35e8B8F539bA6cCF107,303621820360568108299,24462.416712143044
0xD0Dfcd797119b3B2478a6633dfd1acC9cC111311,286524421551400621411,23084.901440457805
0x9C7B84BE5D69BB41a718A4aF921E44730a277F90,272461666829568002868,21951.883511385397
0x25c49a711f52bD9a5369963bddaa3242F49232EB,266698495716155150603,21487.552281198223
0x33DC6F8eD0Dc691aF7d0c63A87721fE877e01b7A,236510045453998742460,19055.307953930558
0x78405A40220f4AA36f9475f43C5d73fb7d63C206,219585421030943592768,17691.712890698214
0xbD579422F0508f763b7AB522A8d2FBD22F5794A4,212082919034033920980,17087.246024600983
0xA9C233652C2771Cd585cF52Df49f3558dc7fea96,202981453783161583715,16353.95276065333
0x6699ef93Ed3bE59426ec9370B14FcE9a270AC556,196243883569883053042,15811.115457363298
0x64874f2C70C125d300a1949Ad57CBd65d5921122,188588906795362589719,15194.363895971184
0xbb86d5181780EBF2dfb9fEc6a57b675155523527,187846668351910494721,15134.56270618207
0xcbcc10e475951A27BA9E7D12A1Fa3CA4856795C3,171167992768706113793,13790.783422339866
0x9A53038d1d0bacDC835903CE48DEA6Ec104D9580,169672808917901647874,13670.318396551504
0x896930E77cdF937b26aD5fA0f8E5957616F496e2,169475781151975212424,13654.444124708225
0xD98a1b4082052b57e5688A69d07263c4b7963C5D,161855652964027342477,13040.500268788515
0x5842D52a71c9f70df3454a927Fe6E961F68F1710,157396345531653764738,12681.219646174719
0x063560D831876C9BCebdB1Ac48D81815e45A0Ab9,144868893614162487893,11671.899075001415
0x1a928eC80D8Fc70F376201dC27a7BfCaC3EE842E,138211827001486824429,11135.547842516295
0xaB4165f9592c91bd87D584a08C9990d9F6216Aa5,135307069851834597785,10901.5153221988
0x02e556fb08A6b4d63FC46CeC5Da43D22A31fafc7,133120925583054599883,10725.380510701223
0x5Ba2e8f03Db3c901cbb5e8eAC467Bfae3dc279B2,131369872068414224486,10584.300397587065
0x34ceb74203B521034FB9D50afb8CDEC43f5965C5,126577539464415323778,10198.188368342951
0xC045aA09a487B68F5895e1Ba6d867384b9710670,120485313781746683048,9707.345637814302
0xeC97f290B3Ac5c6e1a7c738f6f535C8677d35004,104258038320345207239,8399.935076978702
0x66b8DA1b31152BEc662CA3Eb645ee48c4920689F,102704214865650754973,8274.745534274894
0xd4036aE40725eA2cef02650a5a97d3fF5eE3cFF4,96252778846570890892,7754.961692313063
0x17D4C4915Fd8DF505C12c3d3237D1A5c8e6b9Eb0,93145051969698940297,7504.576164028938
0x15E73B9d210f3e127aa2F755c2e3305d5264d9B7,87835154708541978152,7076.764620883477
0xff7DcC88ec77D5E84049eb5B35a92Fe0f35442b2,83523027089159938896,6729.3420851250285
0x3A7921214F2142f6043d6Eff344A1dA9496ba886,82626258714237835079,6657.090618957135
0x30B8eAB7d560840a78BCB22e58B1a47b82AeCF99,74416196760324169190,5995.616563796537
0x17b9058b6d695baa2d5755dE4095C7428f73e97F,72946413084366497515,5877.197997188629
0x648b7A995a8dFB54c9aCf250bAD1De5dAf9Fd249,68943908087634852677,5554.721355008534
